"","YrBuilt","avg_stories"
"1",1720,2
"2",1725,1.5
"3",1735,2
"4",1737,2
"5",1745,2
"6",1750,1.5
"7",1752,2
"8",1765,2
"9",1775,1.5
"10",1780,1.875
"11",1784,2
"12",1785,3
"13",1790,2
"14",1793,2
"15",1798,1.75
"16",1800,2
"17",1803,2
"18",1805,2
"19",1808,2
"20",1809,2
"21",1812,2.2
"22",1813,2
"23",1814,2.33333333333333
"24",1815,2
"25",1817,2
"26",1818,2.6
"27",1820,1.83333333333333
"28",1822,2
"29",1824,2
"30",1829,2
"31",1830,1.75
"32",1832,1.51428571428571
"33",1833,3
"34",1835,1.66666666666667
"35",1836,3
"36",1837,2
"37",1838,2
"38",1839,2.14285714285714
"39",1840,2.06
"40",1841,2
"41",1842,2.3
"42",1843,2
"43",1844,2.29166666666667
"44",1845,2.33333333333333
"45",1846,1.9375
"46",1847,2.22222222222222
"47",1848,1.94117647058824
"48",1849,2.07692307692308
"49",1850,1.87962962962963
"50",1851,1.46153846153846
"51",1852,2.16666666666667
"52",1853,2.76923076923077
"53",1854,2.1
"54",1855,2.07142857142857
"55",1856,1.9
"56",1857,1.93478260869565
"57",1858,2.33333333333333
"58",1859,1.88636363636364
"59",1860,2.1
"60",1861,2
"61",1862,2
"62",1863,2
"63",1865,2.2
"64",1866,3.75
"65",1867,2.33333333333333
"66",1868,2
"67",1869,2
"68",1870,2.30985915492958
"69",1871,1.75
"70",1872,2.77777777777778
"71",1873,2.33333333333333
"72",1874,1.64285714285714
"73",1875,2.22916666666667
"74",1876,1.75
"75",1877,3.33333333333333
"76",1878,2.28571428571429
"77",1879,2.14285714285714
"78",1880,2.06796116504854
"79",1881,1.72222222222222
"80",1882,2.33333333333333
"81",1883,2.11111111111111
"82",1884,2.4
"83",1885,2.02564102564103
"84",1886,2
"85",1887,2.28571428571429
"86",1888,2.15384615384615
"87",1889,2.1
"88",1890,2.10897435897436
"89",1891,2
"90",1892,2.0952380952381
"91",1893,2.08108108108108
"92",1894,2.19512195121951
"93",1895,1.5625
"94",1896,2.03846153846154
"95",1897,2.28571428571429
"96",1898,1.76470588235294
"97",1899,2.16666666666667
"98",1900,1.83811613774477
"99",1901,2.02941176470588
"100",1902,2.06060606060606
"101",1903,2.18333333333333
"102",1904,2.19230769230769
"103",1905,1.98011363636364
"104",1906,2.2
"105",1907,1.97395833333333
"106",1908,1.89462809917355
"107",1909,2.00555555555556
"108",1910,1.94714391691395
"109",1911,2.11176470588235
"110",1912,1.9367816091954
"111",1913,1.88039215686275
"112",1914,1.78524590163934
"113",1915,1.89990234375
"114",1916,1.89276485788114
"115",1917,1.95754716981132
"116",1918,1.90346534653465
"117",1919,1.91363636363636
"118",1920,1.78663875142748
"119",1921,1.92205323193916
"120",1922,1.92528147389969
"121",1923,1.87008281573499
"122",1924,1.81455938697318
"123",1925,1.66742909423605
"124",1926,1.68297455968689
"125",1927,1.58984375
"126",1928,1.62558685446009
"127",1929,1.74357707509881
"128",1930,1.48558951965065
"129",1931,1.65605095541401
"130",1932,1.65589353612167
"131",1933,1.68965517241379
"132",1934,1.74038461538462
"133",1935,1.59334763948498
"134",1936,1.56958250497018
"135",1937,1.63502109704641
"136",1938,1.52400960384154
"137",1939,1.59173387096774
"138",1940,1.43180283592167
"139",1941,1.44523326572008
"140",1942,1.43290043290043
"141",1943,1.4
"142",1944,1.43229166666667
"143",1945,1.45199501246883
"144",1946,1.3394777265745
"145",1947,1.2982126899017
"146",1948,1.33681022880215
"147",1949,1.28294573643411
"148",1950,1.26238738738739
"149",1951,1.30885780885781
"150",1952,1.26543942992874
"151",1953,1.21171693735499
"152",1954,1.15693779904306
"153",1955,1.12185929648241
"154",1956,1.14438502673797
"155",1957,1.15841584158416
"156",1958,1.14559819413093
"157",1959,1.14200595829196
"158",1960,1.18638497652582
"159",1961,1.20933734939759
"160",1962,1.39047619047619
"161",1963,1.29595015576324
"162",1964,1.32497013142174
"163",1965,1.32721712538226
"164",1966,1.49943820224719
"165",1967,1.37103174603175
"166",1968,1.42967244701349
"167",1969,1.37643020594966
"168",1970,1.6360824742268
"169",1971,1.58958333333333
"170",1972,1.23795180722892
"171",1973,1.4251968503937
"172",1974,1.32476635514019
"173",1975,1.34298780487805
"174",1976,1.5374449339207
"175",1977,1.41954022988506
"176",1978,1.34489795918367
"177",1979,1.27470355731225
"178",1980,1.39076923076923
"179",1981,1.40056818181818
"180",1982,1.58974358974359
"181",1983,1.40579710144928
"182",1984,1.83333333333333
"183",1985,1.46520618556701
"184",1986,1.62943262411348
"185",1987,1.44153846153846
"186",1988,1.51136363636364
"187",1989,1.8014440433213
"188",1990,1.53977272727273
"189",1991,1.60335195530726
"190",1992,1.64705882352941
"191",1993,1.78488372093023
"192",1994,1.84472049689441
"193",1995,1.55397727272727
"194",1996,1.77336448598131
"195",1997,1.76666666666667
"196",1998,1.70454545454545
"197",1999,1.79527559055118
"198",2000,1.68805309734513
"199",2001,1.61890243902439
"200",2002,1.65406976744186
"201",2003,1.67281105990783
"202",2004,1.70707070707071
"203",2005,1.56726907630522
"204",2006,1.57737226277372
"205",2007,1.75434782608696
"206",2008,1.96153846153846
"207",2009,1.74382716049383
"208",2010,1.772
"209",2011,1.79887218045113
"210",2012,1.9
"211",2013,2.01434426229508
"212",2014,1.98648648648649
"213",2015,1.96560402684564
"214",2016,1.7217868338558
"215",2017,1.80405405405405
"216",2018,1.84038461538462
"217",2019,2
"218",NA,1.58333333333333
