"","lon","lat","pin"
"1",-77.4402903,37.5506199,"N0000155021"
"2",-77.4058469,37.5136119,"E0100041008"
"3",-77.4023044,37.5151155,"E0002300002"
"4",-77.4542509,37.5239575,"S0000303002"
"5",-77.4709477,37.5618512,"W0001292024"
"6",-77.4139627,37.5679736,"N0000927004"
"7",-77.4445152,37.54547,"W0000126001"
"8",-77.4583429,37.5544778,"W0000736059"
"9",-77.467367,37.559864,"W0001130020"
"10",-77.4090305,37.5467485,"E0001080010"
"11",-77.4752747,37.5622098,"W0001414017"
"12",-77.44383,37.541652,"W0000061024"
"13",-77.475194,37.5526813,"W0001202019"
"14",-77.4419727,37.5421975,"W0000047027"
"15",-77.4752051,37.5549724,"W0001245004"
"16",-77.4538833,37.5559449,"N0000671003"
"17",-77.5642704,37.5389022,"C0011105018"
"18",-77.4643679,37.508354,"S0001864015"
"19",-77.444929,37.573067,"N0000965003"
"20",-77.4457927,37.5791468,"N0001343015"
"21",-77.4092099,37.5466449,"E0001080012"
"22",-77.448495,37.587992,"N0001899001"
"23",-77.523253,37.513727,"C0050603010"
"24",-77.4457479,37.5783226,"N0001343013"
"25",-77.4591176,37.5543199,"W0000735001"
"26",-77.4463306,37.576337,"N0001233008"
"27",-77.466471,37.4898704,"N0001095005"
"28",-77.4682533,37.5632683,"N0001481038"
"29",-77.4507009,37.5420366,"W0000210022"
"30",-77.4442769,37.49205,"S0080236007"
"31",-77.446084,37.4835172,"S0080521085"
"32",-77.4079319,37.5287391,"E0000972001"
"33",-77.514667,37.519049,"C0050603034"
"34",-77.5183971,37.5746309,"W0210261036"
"35",-77.4466289,37.5770901,"N0001233004"
"36",-77.4499165,37.5211474,"S0000201001"
"37",-77.445903,37.499377,"S0071326002"
"38",-77.4094341,37.5312582,"E0000728002"
"39",-77.4658153,37.5879117,"N0170390020"
"40",-77.412814,37.568137,"N0050999026"
"41",-77.5163582,37.5174302,"C0050603045"
"42",-77.540347,37.5342119,"C0030170038"
"43",-77.564778,37.53786,"C0011105014"
"44",-77.4552853,37.5545066,"N0000670006"
"45",-77.4878831,37.55678,"W0001598031"
"46",-77.5329123,37.5903485,"W0210123004"
"47",-77.513735,37.480361,"C0070676006"
"48",-77.4524714,37.6019843,"N0170026004"
"49",-77.455488,37.5541139,"N0000670012"
"50",-77.4877997,37.5548098,"W0001597020"
"51",-77.4560424,37.5163095,"S0000689026"
"52",-77.5239852,37.5393796,"C0040662002"
"53",-77.4259696,37.5692083,"N0000906018"
"54",-77.4443655,37.5210285,"S0000085016"
"55",-77.462794,37.556505,"W0000953007"
"56",-77.4473167,37.5200067,"S0000153002"
"57",-77.4342497,37.517022,"S0000386010"
"58",-77.4470254,37.5802422,"N0001437005"
"59",-77.5272238,37.5344594,"C0040823030"
"60",-77.532172,37.590993,"W0210123003"
"61",-77.496829,37.4883359,"C0070355022"
"62",-77.533617,37.535593,"C0030177082"
"63",-77.5126293,37.5196523,"C0050603037"
"64",-77.5213633,37.5377347,"C0040745024"
"65",-77.4871357,37.5563193,"W0001598030"
"66",-77.533345,37.590412,"W0210123001"
"67",-77.464279,37.558015,"W0001010044"
"68",-77.5150139,37.51692,"C0050776028"
"69",-77.4603802,37.5791772,"N0001322001"
"70",-77.4460049,37.4991116,"S0071326003"
"71",-77.5389679,37.5348506,"C0030170030"
"72",-77.5379601,37.5375106,"C0030082036"
"73",-77.4094789,37.5311811,"E0000728003"
"74",-77.4236345,37.5587825,"N0000506009"
"75",-77.5349593,37.5368212,"C0030086030"
"76",-77.4843019,37.5555337,"W0001511044"
"77",-77.4948205,37.4874552,"C0080252022"
"78",-77.4510871,37.5231618,"S0000203001"
"79",-77.423381,37.581559,"N0001559010"
"80",-77.4843783,37.5555153,"W0001511002"
"81",-77.4603846,37.5197621,"S0000803007"
"82",-77.4441229,37.5686939,"N0000691036"
"83",-77.4222797,37.5348776,"E0000188023"
"84",-77.4491993,37.5926626,"N0002350010"
"85",-77.4836349,37.5065771,"C0060286012"
"86",-77.5083471,37.519543,"C0050578038"
"87",-77.4458375,37.4979085,"S0071376004"
"88",-77.4820054,37.4730759,"C0080667028"
"89",-77.421669,37.5767803,"N0001367019"
"90",-77.4692009,37.5528661,"W0001039004"
"91",-77.4462409,37.5756718,"N0001233010"
"92",-77.5118828,37.4813611,"C0070588026"
"93",-77.3956462,37.5147853,"E0002912016"
"94",-77.436551,37.505031,"S0071034001"
"95",-77.5097846,37.5036195,"C0060921040"
"96",-77.4578947,37.4929291,"C0090278028"
"97",-77.4426997,37.5862285,"N0001902002"
"98",-77.4742313,37.4885004,"C0060508014"
"99",-77.4122942,37.5690441,"N0051081001"
"100",-77.395735,37.5172138,"E0110183009"
"101",-77.4862175,37.5068788,"C0060354012"
"102",-77.4468603,37.5190009,"S0000195009"
"103",-77.4495902,37.5227285,"S0000156001"
"104",-77.4443583,37.5433013,"W0000103015"
"105",-77.5009699,37.4845546,"C0070444022"
"106",-77.5097846,37.5140372,"C0050785022"
"107",-77.4214038,37.5337021,"E0000223043"
"108",-77.4214038,37.5337021,"E0000223041"
"109",-77.4246784,37.5352242,"E0000484033"
"110",-77.4214038,37.5337021,"E0000223039"
"111",-77.4214038,37.5337021,"E0000223037"
"112",-77.4214038,37.5337021,"E0000223035"
"113",-77.4246784,37.5352242,"E0000484032"
"114",-77.4214038,37.5337021,"E0000223040"
"115",-77.453955,37.554905,"N0000615040"
"116",-77.4246784,37.5352242,"E0000484031"
"117",-77.461932,37.553708,"W0000861087"
"118",-77.4694689,37.5511137,"W0001006056"
"119",-77.461932,37.553708,"W0000861090"
"120",-77.4692767,37.5506906,"W0001006058"
"121",-77.453955,37.554905,"N0000615041"
"122",-77.4693053,37.5506394,"W0001006054"
"123",-77.4336191,37.5327785,"E0000069177"
"124",-77.4410614,37.5431494,"W0000048001B"
"125",-77.4100811,37.5402039,"E0000620020"
"126",-77.458018,37.5891772,"N0002181033"
"127",-77.4442764,37.5651254,"N0000687004"
"128",-77.5148916,37.5793519,"W0210164016"
"129",-77.516482,37.503577,"C0051094012"
"130",-77.412154,37.5387493,"E0000471018"
"131",-77.4214038,37.5337021,"E0000223036"
"132",-77.4624485,37.5540459,"W0000861107"
"133",-77.4214038,37.5337021,"E0000223038"
"134",-77.4163335,37.5299025,"E0000484030"
"135",-77.496508,37.570459,"W0000861085"
"136",-77.461932,37.553708,"W0000861086"
"137",-77.461932,37.553708,"W0000861089"
"138",-77.4716176,37.5611585,"W0001291059"
"139",-77.4214727,37.5293797,"E0000341026"
"140",-77.5246578,37.5343643,"C0040823073"
"141",-77.4311636,37.544324,"N0000016001"
"142",-77.433403,37.545768,"N0000013020"
"143",-77.4311558,37.5442713,"N0000016002"
"144",-77.434543,37.546568,"N0000020012"
"145",-77.4481884,37.5402489,"W0000099001"
"146",-77.4349913,37.5476905,"N0000030027"
"147",-77.507264,37.5687943,"W0200193048"
"148",-77.4733381,37.5613218,"W0001290037"
"149",-77.507264,37.5687943,"W0200193051"
"150",-77.4694017,37.5512294,"W0001006060"
"151",-77.453955,37.554905,"N0000615038"
"152",-77.4624485,37.5540459,"W0000861105"
"153",-77.507385,37.568862,"W0200193053"
"154",-77.4624485,37.5540459,"W0000861104"
"155",-77.5151543,37.5036888,"C0051094002"
"156",-77.481843,37.4696994,"C0080829086"
"157",-77.434778,37.5355173,"E0000065022"
"158",-77.4339549,37.5357009,"E0000082019"
"159",-77.4728226,37.565504,"N0001588004"
"160",-77.4692549,37.5637248,"N0001503001"
"161",-77.4335437,37.5713855,"N0000892030"
"162",-77.4420768,37.5569966,"N0000361021"
"163",-77.4703428,37.5488713,"W0000992030"
"164",-77.4790142,37.5545155,"W0001359040"
"165",-77.444536,37.47658,"S0080774001"
"166",-77.440232,37.546265,"N0000077030"
"167",-77.4017439,37.5414333,"E0000795001"
"168",-77.5129742,37.5041855,"C0050992024"
"169",-77.4388545,37.546186,"N0000061011"
"170",-77.5137717,37.579314,"W0200073007"
"171",-77.4716176,37.5611585,"W0001291057"
"172",-77.4515047,37.5546037,"N0000572042"
"173",-77.496508,37.570459,"W0000733034"
"174",-77.460061,37.549534,"W0000662047"
"175",-77.4214038,37.5337021,"E0000223044"
"176",-77.4720285,37.5514152,"W0001070043"
"177",-77.4796357,37.5542671,"W0001411028"
"178",-77.4214038,37.5337021,"E0000223042"
"179",-77.4827872,37.4730695,"C0080665038"
"180",-77.5085974,37.5026517,"C0060821008"
"181",-77.42769,37.5333169,"E0000108027"
"182",-77.418992,37.528038,"E0000536009"
"183",-77.435372,37.537281,"E0000080003"
"184",-77.4338575,37.5364836,"E0000082001"
"185",-77.4662125,37.5595519,"W0001048004"
"186",-77.4707268,37.5488735,"W0001034019"
"187",-77.4781972,37.5536288,"W0001283055"
"188",-77.473984,37.5544733,"W0001203031"
"189",-77.4630423,37.5551863,"W0000952053"
"190",-77.4336894,37.5364553,"E0000082041"
"191",-77.4695335,37.5505408,"W0001006050"
"192",-77.457998,37.553647,"W0000735056"
"193",-77.4722002,37.5606702,"W0001250026"
"194",-77.4737319,37.5615694,"W0001368045"
"195",-77.4185737,37.5703043,"N0000987001"
"196",-77.5315104,37.5366168,"C0030177085"
"197",-77.4565781,37.5134629,"S0000792019"
"198",-77.453536,37.59068,"N0002274003"
"199",-77.5197309,37.5727676,"W0210358006"
"200",-77.4647667,37.5482494,"W0000810044"
